date,rank
2024-06-19,1935389
2024-06-20,1903587
2024-06-21,1783243
2024-06-22,1679714
2024-06-23,1656717
2024-06-24,1658338
2024-06-25,1636424
2024-06-26,1615429
2024-06-27,1617196
2024-06-28,1596606
2024-06-29,1555214
2024-06-30,1516305
2024-07-01,1517798
2024-07-02,1441567
2024-07-03,1391360
2024-07-04,1345534
2024-07-05,1331982
2024-07-06,1318060
2024-07-07,1276187
2024-07-08,1277482
2024-07-09,1251996
2024-07-10,1253541
2024-07-11,1241925
2024-07-12,1217833
2024-07-13,1218969
2024-07-14,1220199
2024-07-15,1209102
2024-07-16,1151180
2024-07-17,1152451
2024-07-18,1131085
2024-07-19,1132292
2024-07-20,1122315
2024-07-21,1113045
2024-07-22,1114146
2024-07-23,1115394
2024-07-24,1116609
2024-07-25,1117793
2024-07-26,1118962
2024-07-27,1120062
2024-07-28,1121133
2024-07-29,1122196
2024-07-30,1092085
2024-07-31,1093343
2024-08-01,1094586
2024-08-02,1095776
2024-08-03,1096882
2024-08-04,1078407
2024-08-05,1079535
2024-08-06,1071070
2024-08-07,1072288
2024-08-08,1073414
2024-08-09,1074524
2024-08-10,1075544
2024-08-11,1076636
2024-08-12,1077643
2024-08-13,1078823
2024-08-14,1079878
2024-08-15,1081089
2024-08-16,1082203
2024-08-17,1083286
2024-08-18,1084421
2024-08-19,1085481
2024-08-20,1086544
2024-08-21,1087601
2024-08-22,1088713
2024-08-23,1089803
2024-08-24,1090775
2024-08-25,1091864
2024-08-26,1092900
2024-08-27,1084210
2024-08-28,1085270
2024-08-29,1086323
2024-08-30,1087339
2024-08-31,1088247
2024-09-01,1089389
2024-09-02,1090400
2024-09-03,1091571
2024-09-04,1092654
2024-09-05,1093715
2024-09-06,1094744
2024-09-07,1095668
2024-09-08,1096672
2024-09-09,1097607
2024-09-10,1098712
2024-09-11,1099749
2024-09-12,1100873
2024-09-13,1101971
2024-09-14,1102934
2024-09-15,1104038
2024-09-16,1105014
2024-09-17,1106132
2024-09-18,1107149
2024-09-19,1108210
2024-09-20,1109151
2024-09-21,1110005
2024-09-22,1111023
2024-09-23,1111951
2024-09-24,1113054
2024-09-25,1114032
2024-09-26,1115016
2024-09-27,1116000
2024-09-28,1116775
2024-09-29,1117788
2024-09-30,1118696
2024-10-01,1119717
2024-10-02,1110944
2024-10-03,1102396
2024-10-04,1103392
2024-10-05,1085491
2024-10-06,1067889
2024-10-07,1068795
2024-10-08,1069894
2024-10-09,1070951
2024-10-10,1062766
2024-10-11,1063607
2024-10-12,1064406
2024-10-13,1065331
2024-10-14,1066257
2024-10-15,1067257
2024-10-16,1068249
2024-10-17,1069246
2024-10-18,1070189
2024-10-19,1070996
2024-10-20,1053923
2024-10-21,1054782
2024-10-22,1047141
2024-10-23,1048043
2024-10-24,1048936
2024-10-25,1049747
2024-10-26,1041955
2024-10-27,1034431
2024-10-28,1035222
2024-10-29,1036049
2024-10-30,1036802
2024-10-31,1037506
2024-11-01,1038161
2024-11-02,1038967
2024-11-03,1023816
2024-11-04,1024607
2024-11-05,1025455
2024-11-06,1026229
2024-11-07,1026997
2024-11-08,1027779
2024-11-09,1028465
2024-11-10,1029273
2024-11-11,1029982
2024-11-12,1030899
2024-11-13,1031714
2024-11-14,1032564
2024-11-15,1033334
2024-11-16,1034046
2024-11-17,1034760
